Tur 29	00:00:02.661	00:06:56.375
Tur 28	00:01:42.273	00:06:53.714
Tur 27	00:00:53.449	00:05:11.441
Tur 26	00:00:53.643	00:04:17.992
Tur 25	00:00:18.992	00:03:24.349
Tur 24	00:00:29.550	00:03:05.357
Tur 23	00:00:12.233	00:02:35.807
Tur 22	00:00:16.429	00:02:23.574
Tur 21	00:00:10.623	00:02:07.145
Tur 20	00:00:12.250	00:01:56.522
Tur 19	00:00:09.497	00:01:44.272
Tur 18	00:00:06.789	00:01:34.775
Tur 17	00:00:06.495	00:01:27.986
Tur 16	00:00:08.826	00:01:21.491
Tur 15	00:00:05.945	00:01:12.665
Tur 14	00:00:05.799	00:01:06.720
Tur 13	00:00:06.370	00:01:00.921
Tur 12	00:00:05.308	00:00:54.551
Tur 11	00:00:03.363	00:00:49.243
Tur 10	00:00:06.388	00:00:45.880
Tur 9	00:00:03.108	00:00:39.492
Tur 8	00:00:04.945	00:00:36.384
Tur 7	00:00:03.366	00:00:31.439
Tur 6	00:00:03.439	00:00:28.073
Tur 5	00:00:04.827	00:00:24.634
Tur 4	00:00:02.824	00:00:19.807
Tur 3	00:00:03.940	00:00:16.983
Tur 2	00:00:03.247	00:00:13.043
Tur 1	00:00:09.796	00:00:09.796
